Date,Ftot_constrain
2136,7.416674832
2137,7.416674832
2138,7.416674832
2139,7.416674832
2140,7.416674832
2141,7.416674832
2142,7.416674832
2143,7.416674832
2144,7.416674832
2145,7.416674832
2146,7.416674832
2147,7.416674832
2148,7.416674832
2149,7.416674832
2150,7.416674832
2151,7.416674832
2152,7.416674832
2153,7.416674832
2154,7.416674832
2155,7.416674832
2156,7.416674832
2157,7.416674832
2158,7.416674832
2159,7.416674832
2160,7.416674832
2161,7.416674832
2162,7.416674832
2163,7.416674832
2164,7.416674832
2165,7.416674832
2166,7.416674832
2167,7.416674832
2168,7.416674832
2169,7.416674832
2170,7.416674832
2171,7.416674832
2172,7.416674832
2173,7.416674832
2174,7.416674832
2175,7.416674832
2176,7.416674832
2177,7.416674832
2178,7.416674832
2179,7.416674832
2180,7.416674832
2181,7.416674832
2182,7.416674832
2183,7.416674832
2184,7.416674832
2185,7.416674832
2186,7.416674832
2187,7.416674832
2188,7.416674832
2189,7.416674832
2190,7.416674832
2191,7.416674832
2192,7.416674832
2193,7.416674832
2194,7.416674832
2195,7.416674832
2196,7.416674832
2197,7.416674832
2198,7.416674832
2199,7.416674832
2200,7.416674832
2201,7.416674832
2202,7.416674832
2203,7.416674832
2204,7.416674832
2205,7.416674832
2206,7.416674832
2207,7.416674832
2208,7.416674832
2209,7.416674832
2210,7.416674832
2211,7.416674832
2212,7.416674832
2213,7.416674832
2214,7.416674832
2215,7.416674832
2216,7.416674832
2217,7.416674832
2218,7.416674832
2219,7.416674832
2220,7.416674832
2221,7.416674832
2222,7.416674832
2223,7.416674832
2224,7.416674832
2225,7.416674832
2226,7.416674832
2227,7.416674832
2228,7.416674832
2229,7.416674832
2230,7.416674832
2231,7.416674832
2232,7.416674832
2233,7.416674832
2234,7.416674832
2235,7.416674832
2236,7.416674832
2237,7.416674832
2238,7.416674832
2239,7.416674832
2240,7.416674832
2241,7.416674832
2242,7.416674832
2243,7.416674832
2244,7.416674832
2245,7.416674832
2246,7.416674832
2247,7.416674832
2248,7.416674832
2249,7.416674832
2250,7.416674832
2251,7.416674832
2252,7.416674832
2253,7.416674832
2254,7.416674832
2255,7.416674832
2256,7.416674832
2257,7.416674832
2258,7.416674832
2259,7.416674832
2260,7.416674832
2261,7.416674832
2262,7.416674832
2263,7.416674832
2264,7.416674832
2265,7.416674832
2266,7.416674832
2267,7.416674832
2268,7.416674832
2269,7.416674832
2270,7.416674832
2271,7.416674832
2272,7.416674832
2273,7.416674832
2274,7.416674832
2275,7.416674832
2276,7.416674832
2277,7.416674832
2278,7.416674832
2279,7.416674832
2280,7.416674832
2281,7.416674832
2282,7.416674832
2283,7.416674832
2284,7.416674832
2285,7.416674832
2286,7.416674832
2287,7.416674832
2288,7.416674832
2289,7.416674832
2290,7.416674832
2291,7.416674832
2292,7.416674832
2293,7.416674832
2294,7.416674832
2295,7.416674832
2296,7.416674832
2297,7.416674832
2298,7.416674832
2299,7.416674832
2300,7.416674832
2301,7.416674832
2302,7.416674832
2303,7.416674832
2304,7.416674832
2305,7.416674832
2306,7.416674832
2307,7.416674832
2308,7.416674832
2309,7.416674832
2310,7.416674832
2311,7.416674832
2312,7.416674832
2313,7.416674832
2314,7.416674832
2315,7.416674832
2316,7.416674832
2317,7.416674832
2318,7.416674832
2319,7.416674832
2320,7.416674832
2321,7.416674832
2322,7.416674832
2323,7.416674832
2324,7.416674832
2325,7.416674832
2326,7.416674832
2327,7.416674832
2328,7.416674832
2329,7.416674832
2330,7.416674832
2331,7.416674832
2332,7.416674832
2333,7.416674832
2334,7.416674832
2335,7.416674832
2336,7.416674832
2337,7.416674832
2338,7.416674832
2339,7.416674832
2340,7.416674832
2341,7.416674832
2342,7.416674832
2343,7.416674832
2344,7.416674832
2345,7.416674832
2346,7.416674832
2347,7.416674832
2348,7.416674832
2349,7.416674832
2350,7.416674832
2351,7.416674832
2352,7.416674832
2353,7.416674832
2354,7.416674832
2355,7.416674832
2356,7.416674832
2357,7.416674832
2358,7.416674832
2359,7.416674832
2360,7.416674832
2361,7.416674832
2362,7.416674832
2363,7.416674832
2364,7.416674832
2365,7.416674832
2366,7.416674832
2367,7.416674832
2368,7.416674832
2369,7.416674832
2370,7.416674832
